Frame,Time (Seconds),QX,QY,QZ,QW,X,Y,Z
23,0.191667,0.002527,-0.018827,-0.990935,0.132992,19.092686,57.772245,16.020974
24,0.200000,0.002527,-0.018828,-0.990935,0.132994,19.091257,57.763249,16.019675
25,0.208333,0.002527,-0.018828,-0.990934,0.132997,19.090002,57.754056,16.018081
26,0.216667,0.002527,-0.018828,-0.990934,0.133000,19.087968,57.743802,16.016039
27,0.225000,0.002527,-0.018828,-0.990934,0.133002,19.085664,57.734304,16.014235
28,0.233333,0.002527,-0.018828,-0.990933,0.133005,19.083103,57.724431,16.012086
29,0.241667,0.002527,-0.018828,-0.990933,0.133009,19.080226,57.713053,16.009728
30,0.250000,0.002527,-0.018828,-0.990932,0.133011,19.077628,57.703142,16.007861
31,0.258333,0.002527,-0.018827,-0.990932,0.133014,19.075099,57.693089,16.005699
32,0.266667,0.002527,-0.018827,-0.990932,0.133018,19.071999,57.681027,16.003307
33,0.275000,0.002527,-0.018826,-0.990931,0.133021,19.069803,57.670018,16.001150
34,0.283333,0.002527,-0.018826,-0.990931,0.133024,19.067266,57.658572,15.998685
35,0.291667,0.002527,-0.018825,-0.990930,0.133028,19.063967,57.645181,15.995650
36,0.300000,0.002527,-0.018824,-0.990930,0.133031,19.061212,57.632967,15.993150
37,0.308333,0.002527,-0.018824,-0.990929,0.133034,19.058656,57.620593,15.990369
38,0.316667,0.002527,-0.018823,-0.990929,0.133038,19.055758,57.606504,15.986841
39,0.325000,0.002527,-0.018821,-0.990929,0.133041,19.053374,57.594030,15.983612
40,0.333333,0.002527,-0.018820,-0.990928,0.133044,19.050980,57.581227,15.980154
41,0.341667,0.002527,-0.018819,-0.990928,0.133048,19.048400,57.566589,15.976205
42,0.350000,0.002527,-0.018817,-0.990927,0.133052,19.046244,57.553143,15.972889
43,0.358333,0.002526,-0.018816,-0.990927,0.133055,19.044233,57.539653,15.969692
44,0.366667,0.002526,-0.018814,-0.990926,0.133059,19.041881,57.524383,15.966022
45,0.375000,0.002526,-0.018812,-0.990926,0.133063,19.039782,57.510243,15.962887
46,0.383333,0.002526,-0.018811,-0.990925,0.133066,19.037317,57.495413,15.959818
47,0.391667,0.002526,-0.018809,-0.990925,0.133070,19.034379,57.478544,15.956390
48,0.400000,0.002526,-0.018807,-0.990924,0.133074,19.031377,57.463352,15.953012
49,0.408333,0.002525,-0.018805,-0.990924,0.133078,19.028649,57.447880,15.949582
50,0.416667,0.002525,-0.018803,-0.990923,0.133082,19.025415,57.430384,15.946147
51,0.425000,0.002525,-0.018801,-0.990923,0.133086,19.021789,57.414585,15.942993
52,0.433333,0.002525,-0.018799,-0.990922,0.133090,19.017915,57.398272,15.939890
53,0.441667,0.002525,-0.018797,-0.990922,0.133095,19.013797,57.380030,15.936248
54,0.450000,0.002525,-0.018795,-0.990921,0.133099,19.010199,57.363587,15.932945
55,0.458333,0.002524,-0.018793,-0.990921,0.133103,19.006761,57.346650,15.929647
56,0.466667,0.002524,-0.018791,-0.990920,0.133108,19.003103,57.327930,15.925817
57,0.475000,0.002524,-0.018789,-0.990920,0.133112,18.999825,57.311221,15.922419
58,0.483333,0.002524,-0.018787,-0.990919,0.133116,18.996549,57.294289,15.918843
59,0.491667,0.002524,-0.018785,-0.990919,0.133121,18.992651,57.274845,15.914711
60,0.500000,0.002523,-0.018782,-0.990918,0.133126,18.988773,57.256873,15.911177
61,0.508333,0.002523,-0.018780,-0.990917,0.133130,18.984868,57.238448,15.907516
62,0.516667,0.002523,-0.018778,-0.990917,0.133135,18.979708,57.217350,15.903056
63,0.525000,0.002523,-0.018776,-0.990916,0.133140,18.974841,57.198099,15.899182
64,0.533333,0.002522,-0.018773,-0.990916,0.133145,18.969821,57.178687,15.895692
65,0.541667,0.002522,-0.018771,-0.990915,0.133150,18.964177,57.156292,15.891672
66,0.550000,0.002522,-0.018769,-0.990914,0.133155,18.958898,57.136127,15.888128
67,0.558333,0.002522,-0.018766,-0.990914,0.133160,18.953331,57.115574,15.884281
68,0.566667,0.002522,-0.018764,-0.990913,0.133165,18.946629,57.092285,15.879722
69,0.575000,0.002521,-0.018762,-0.990912,0.133170,18.940307,57.071600,15.875440
70,0.583333,0.002521,-0.018759,-0.990912,0.133175,18.933845,57.050775,15.871098
71,0.591667,0.002521,-0.018757,-0.990911,0.133180,18.926374,57.027259,15.865568
72,0.600000,0.002521,-0.018754,-0.990911,0.133185,18.919907,57.006176,15.860362
73,0.608333,0.002520,-0.018752,-0.990910,0.133190,18.913426,56.984712,15.854956
74,0.616667,0.002520,-0.018749,-0.990909,0.133196,18.906217,56.960223,15.848824
75,0.625000,0.002520,-0.018746,-0.990909,0.133201,18.899350,56.937948,15.843207
76,0.633333,0.002520,-0.018743,-0.990908,0.133205,18.892559,56.915218,15.836817
77,0.641667,0.002519,-0.018740,-0.990907,0.133211,18.884781,56.888883,15.828825
78,0.650000,0.002519,-0.018736,-0.990907,0.133216,18.877625,56.865384,15.821496
79,0.658333,0.002519,-0.018733,-0.990906,0.133221,18.870107,56.842178,15.814131
80,0.666667,0.002518,-0.018729,-0.990906,0.133226,18.861260,56.816385,15.805679
81,0.675000,0.002518,-0.018725,-0.990905,0.133231,18.853473,56.793418,15.797934
82,0.683333,0.002517,-0.018721,-0.990904,0.133236,18.845625,56.770287,15.789703
83,0.691667,0.002517,-0.018717,-0.990904,0.133241,18.836775,56.743865,15.780567
84,0.700000,0.002516,-0.018712,-0.990903,0.133245,18.829060,56.720237,15.772734
85,0.708333,0.002516,-0.018708,-0.990903,0.133250,18.821646,56.696524,15.764911
86,0.716667,0.002515,-0.018702,-0.990902,0.133255,18.813454,56.669224,15.756213
87,0.725000,0.002515,-0.018698,-0.990902,0.133259,18.806016,56.644719,15.748406
88,0.733333,0.002514,-0.018693,-0.990901,0.133264,18.798410,56.620001,15.740764
89,0.741667,0.002513,-0.018687,-0.990901,0.133269,18.789241,56.591839,15.732299
90,0.750000,0.002513,-0.018682,-0.990900,0.133273,18.780944,56.566378,15.724771
91,0.758333,0.002512,-0.018676,-0.990900,0.133277,18.772809,56.540929,15.717522
92,0.766667,0.002511,-0.018670,-0.990899,0.133282,18.763701,56.512174,15.709914
93,0.775000,0.002511,-0.018665,-0.990899,0.133286,18.755647,56.486663,15.703281
94,0.783333,0.002510,-0.018659,-0.990898,0.133289,18.747634,56.460959,15.696820
95,0.791667,0.002509,-0.018653,-0.990898,0.133294,18.738429,56.431162,15.689334
96,0.800000,0.002508,-0.018647,-0.990897,0.133297,18.730018,56.404246,15.682603
97,0.808333,0.002508,-0.018642,-0.990897,0.133301,18.721459,56.377315,15.675900
98,0.816667,0.002507,-0.018635,-0.990897,0.133305,18.711544,56.346574,15.668207
99,0.825000,0.002506,-0.018629,-0.990896,0.133309,18.703012,56.319111,15.661779
100,0.833333,0.002506,-0.018623,-0.990896,0.133312,18.694756,56.291906,15.655338
101,0.841667,0.002505,-0.018617,-0.990896,0.133316,18.685433,56.261121,15.648217
102,0.850000,0.002504,-0.018611,-0.990895,0.133319,18.676776,56.234166,15.642404
103,0.858333,0.002503,-0.018605,-0.990895,0.133322,18.668006,56.207487,15.636591
104,0.866667,0.002502,-0.018598,-0.990895,0.133325,18.658193,56.177440,15.629628
105,0.875000,0.002502,-0.018592,-0.990894,0.133328,18.649753,56.150726,15.623033
106,0.883333,0.002501,-0.018586,-0.990894,0.133331,18.641525,56.123927,15.615835
107,0.891667,0.002500,-0.018580,-0.990894,0.133334,18.632745,56.093189,15.607405
108,0.900000,0.002499,-0.018573,-0.990894,0.133337,18.625097,56.065191,15.600000
109,0.908333,0.002498,-0.018567,-0.990893,0.133339,18.617410,56.036705,15.592963
110,0.916667,0.002498,-0.018560,-0.990893,0.133342,18.608903,56.004517,15.585232
111,0.925000,0.002497,-0.018554,-0.990893,0.133344,18.601543,55.975734,15.578334
112,0.933333,0.002496,-0.018548,-0.990893,0.133346,18.594320,55.946835,15.571215
113,0.941667,0.002495,-0.018540,-0.990893,0.133349,18.586433,55.914291,15.563537
114,0.950000,0.002494,-0.018534,-0.990892,0.133351,18.579112,55.885199,15.556520
115,0.958333,0.002493,-0.018527,-0.990892,0.133353,18.571490,55.856001,15.549477
116,0.966667,0.002492,-0.018520,-0.990892,0.133355,18.562693,55.823259,15.541586
117,0.975000,0.002492,-0.018514,-0.990892,0.133357,18.555182,55.793822,15.534369
118,0.983333,0.002491,-0.018507,-0.990892,0.133358,18.547662,55.764387,15.527137
119,0.991667,0.002490,-0.018499,-0.990892,0.133360,18.539474,55.731436,15.519416
120,1.000000,0.002489,-0.018493,-0.990892,0.133362,18.532112,55.702051,15.512512
121,1.008333,0.002488,-0.018486,-0.990892,0.133364,18.524573,55.672665,15.505676
122,1.016667,0.002487,-0.018478,-0.990892,0.133366,18.515660,55.639633,15.498344
123,1.025000,0.002486,-0.018472,-0.990891,0.133367,18.507634,55.610390,15.491864
124,1.033333,0.002485,-0.018465,-0.990891,0.133369,18.499724,55.581239,15.485303
125,1.041667,0.002484,-0.018457,-0.990891,0.133370,18.491220,55.548660,15.477939
126,1.050000,0.002483,-0.018450,-0.990891,0.133372,18.483764,55.519283,15.471313
127,1.058333,0.002482,-0.018444,-0.990891,0.133373,18.476375,55.489292,15.464512
128,1.066667,0.002481,-0.018436,-0.990891,0.133374,18.467948,55.455434,15.457284
129,1.075000,0.002481,-0.018429,-0.990891,0.133376,18.460439,55.425091,15.451066
130,1.083333,0.002480,-0.018422,-0.990891,0.133377,18.452772,55.394420,15.444599
131,1.091667,0.002479,-0.018414,-0.990891,0.133378,18.444219,55.359920,15.437523
132,1.100000,0.002478,-0.018408,-0.990891,0.133380,18.436815,55.329406,15.431104
133,1.108333,0.002477,-0.018401,-0.990891,0.133381,18.429377,55.298610,15.424343
134,1.116667,0.002476,-0.018393,-0.990891,0.133382,18.420605,55.263418,15.416369
135,1.125000,0.002475,-0.018386,-0.990891,0.133383,18.412169,55.232022,15.408956
136,1.133333,0.002474,-0.018379,-0.990891,0.133384,18.403445,55.200778,15.401819
137,1.141667,0.002473,-0.018371,-0.990891,0.133386,18.393782,55.165643,15.394008
138,1.150000,0.002472,-0.018364,-0.990891,0.133387,18.385363,55.134702,15.386643
139,1.158333,0.002471,-0.018357,-0.990891,0.133388,18.377045,55.103997,15.379340
140,1.166667,0.002470,-0.018349,-0.990891,0.133389,18.368004,55.069253,15.370853
141,1.175000,0.002469,-0.018342,-0.990891,0.133390,18.360251,55.038132,15.363196
142,1.183333,0.002468,-0.018334,-0.990891,0.133391,18.352631,55.006889,15.355773
143,1.191667,0.002467,-0.018326,-0.990891,0.133392,18.344207,54.972081,15.347570
144,1.200000,0.002466,-0.018319,-0.990891,0.133393,18.336625,54.941477,15.340181
145,1.208333,0.002465,-0.018311,-0.990891,0.133395,18.328943,54.910962,15.332921
146,1.216667,0.002464,-0.018303,-0.990891,0.133396,18.320677,54.876275,15.324279
147,1.225000,0.002463,-0.018295,-0.990891,0.133397,18.313055,54.845499,15.316227
148,1.233333,0.002462,-0.018288,-0.990891,0.133398,18.305527,54.814524,15.308580
149,1.241667,0.002461,-0.018279,-0.990891,0.133399,18.297418,54.778992,15.300076
150,1.250000,0.002460,-0.018272,-0.990891,0.133400,18.290392,54.747267,15.292383
151,1.258333,0.002459,-0.018264,-0.990891,0.133401,18.283420,54.715161,15.284442
152,1.266667,0.002458,-0.018255,-0.990891,0.133402,18.275688,54.678885,15.275562
153,1.275000,0.002457,-0.018247,-0.990891,0.133404,18.268776,54.646665,15.267428
154,1.283333,0.002456,-0.018239,-0.990891,0.133405,18.261569,54.613995,15.259346
155,1.291667,0.002454,-0.018230,-0.990891,0.133406,18.253301,54.576389,15.249842
156,1.300000,0.002453,-0.018222,-0.990891,0.133407,18.245666,54.542643,15.241435
157,1.308333,0.002452,-0.018214,-0.990891,0.133409,18.238306,54.508934,15.232830
158,1.316667,0.002451,-0.018205,-0.990891,0.133410,18.230070,54.470745,15.222688
159,1.325000,0.002450,-0.018197,-0.990891,0.133411,18.222645,54.436933,15.213539
160,1.333333,0.002449,-0.018188,-0.990891,0.133413,18.215131,54.403186,15.204511
161,1.341667,0.002448,-0.018179,-0.990891,0.133414,18.206465,54.365254,15.194173
162,1.350000,0.002447,-0.018170,-0.990891,0.133416,18.198622,54.331109,15.184985
163,1.358333,0.002445,-0.018162,-0.990891,0.133417,18.190596,54.296960,15.175842
164,1.366667,0.002444,-0.018152,-0.990890,0.133419,18.181568,54.258604,15.165565
165,1.375000,0.002443,-0.018143,-0.990890,0.133421,18.173190,54.224890,15.156464
166,1.383333,0.002442,-0.018134,-0.990890,0.133422,18.164536,54.191341,15.147035
167,1.391667,0.002440,-0.018124,-0.990890,0.133424,18.154760,54.153741,15.136428
168,1.400000,0.002439,-0.018115,-0.990890,0.133426,18.146655,54.120628,15.127238
169,1.408333,0.002438,-0.018106,-0.990890,0.133428,18.138641,54.087782,15.117787
170,1.416667,0.002437,-0.018095,-0.990890,0.133430,18.129403,54.051118,15.106934
171,1.425000,0.002435,-0.018086,-0.990890,0.133432,18.120931,54.018230,15.097627
172,1.433333,0.002434,-0.018076,-0.990890,0.133434,18.112320,53.985059,15.088666
173,1.441667,0.002433,-0.018066,-0.990890,0.133437,18.102455,53.947674,15.078088
174,1.450000,0.002432,-0.018056,-0.990890,0.133439,18.093843,53.914092,15.068241
175,1.458333,0.002430,-0.018046,-0.990889,0.133441,18.085226,53.880272,15.058165
176,1.466667,0.002429,-0.018035,-0.990889,0.133444,18.075723,53.842083,15.046606
177,1.475000,0.002427,-0.018025,-0.990889,0.133446,18.067341,53.807735,15.036196
178,1.483333,0.002426,-0.018015,-0.990889,0.133448,18.059162,53.773550,15.025940
179,1.491667,0.002425,-0.018003,-0.990889,0.133451,18.049788,53.734826,15.014302
180,1.500000,0.002423,-0.017993,-0.990889,0.133453,18.041703,53.699943,15.003948
181,1.508333,0.002422,-0.017982,-0.990889,0.133456,18.033473,53.664689,14.993944
182,1.516667,0.002420,-0.017970,-0.990888,0.133459,18.024119,53.624986,14.982918
183,1.525000,0.002419,-0.017960,-0.990888,0.133461,18.016089,53.589788,14.973358
184,1.533333,0.002418,-0.017949,-0.990888,0.133464,18.007818,53.554815,14.963552
185,1.541667,0.002416,-0.017937,-0.990888,0.133467,17.997893,53.514980,14.952522
186,1.550000,0.002415,-0.017926,-0.990888,0.133470,17.989223,53.479428,14.942583
187,1.558333,0.002413,-0.017915,-0.990888,0.133473,17.980583,53.443582,14.932694
188,1.566667,0.002412,-0.017902,-0.990887,0.133476,17.971020,53.402678,14.921647
189,1.575000,0.002410,-0.017891,-0.990887,0.133479,17.962525,53.366182,14.911728
190,1.583333,0.002409,-0.017880,-0.990887,0.133482,17.954297,53.329051,14.902183
191,1.591667,0.002407,-0.017867,-0.990887,0.133486,17.944966,53.286976,14.891218
192,1.600000,0.002405,-0.017856,-0.990887,0.133489,17.936510,53.249433,14.881022
193,1.608333,0.002404,-0.017844,-0.990886,0.133492,17.927572,53.211729,14.870482
194,1.616667,0.002402,-0.017831,-0.990886,0.133496,17.917186,53.168967,14.858707
195,1.625000,0.002401,-0.017819,-0.990886,0.133499,17.908139,53.130522,14.848234
196,1.633333,0.002399,-0.017807,-0.990886,0.133503,17.899291,53.092094,14.837709
197,1.641667,0.002397,-0.017794,-0.990885,0.133507,17.889417,53.048764,14.826059
198,1.650000,0.002396,-0.017782,-0.990885,0.133510,17.880514,53.010047,14.815372
199,1.658333,0.002394,-0.017770,-0.990885,0.133514,17.871925,52.970731,14.804528
200,1.666667,0.002393,-0.017756,-0.990884,0.133518,17.862376,52.925707,14.792112
201,1.675000,0.002391,-0.017744,-0.990884,0.133522,17.853928,52.884882,14.781177
202,1.683333,0.002389,-0.017731,-0.990884,0.133526,17.845609,52.843857,14.770286
203,1.691667,0.002388,-0.017717,-0.990883,0.133531,17.836473,52.797556,14.758143
204,1.700000,0.002386,-0.017705,-0.990883,0.133535,17.828259,52.756605,14.747408
205,1.708333,0.002384,-0.017692,-0.990883,0.133539,17.819987,52.715638,14.736256
206,1.716667,0.002382,-0.017678,-0.990882,0.133544,17.810539,52.669124,14.724194
207,1.725000,0.002381,-0.017665,-0.990882,0.133548,17.801963,52.627623,14.713536
208,1.733333,0.002379,-0.017652,-0.990882,0.133553,17.793574,52.585794,14.702815
209,1.741667,0.002377,-0.017637,-0.990881,0.133558,17.784236,52.538978,14.691084
210,1.750000,0.002376,-0.017624,-0.990881,0.133563,17.776132,52.496959,14.680646
211,1.758333,0.002374,-0.017611,-0.990880,0.133568,17.768247,52.455207,14.670342
212,1.766667,0.002372,-0.017596,-0.990880,0.133573,17.759613,52.408620,14.658723
213,1.775000,0.002370,-0.017582,-0.990879,0.133578,17.751947,52.367192,14.648580
214,1.783333,0.002369,-0.017569,-0.990879,0.133583,17.744578,52.325933,14.638609
215,1.791667,0.002367,-0.017554,-0.990878,0.133590,17.736115,52.279235,14.627684
216,1.800000,0.002365,-0.017540,-0.990878,0.133595,17.728217,52.237686,14.618330
217,1.808333,0.002363,-0.017527,-0.990877,0.133601,17.720367,52.196044,14.608805
218,1.816667,0.002361,-0.017511,-0.990877,0.133607,17.711766,52.149079,14.598187
219,1.825000,0.002359,-0.017498,-0.990876,0.133613,17.703781,52.106924,14.588809
220,1.833333,0.002358,-0.017484,-0.990876,0.133619,17.695903,52.064580,14.579002
221,1.841667,0.002356,-0.017469,-0.990875,0.133626,17.687135,52.016960,14.567823
222,1.850000,0.002354,-0.017455,-0.990874,0.133633,17.679301,51.974566,14.558195
223,1.858333,0.002352,-0.017441,-0.990874,0.133639,17.671543,51.932076,14.548834
224,1.866667,0.002350,-0.017426,-0.990873,0.133647,17.663417,51.884169,14.537884
225,1.875000,0.002349,-0.017412,-0.990872,0.133654,17.656506,51.841151,14.527615
226,1.883333,0.002347,-0.017398,-0.990872,0.133661,17.649476,51.797901,14.517475
227,1.891667,0.002345,-0.017382,-0.990871,0.133669,17.641382,51.749407,14.506333
228,1.900000,0.002343,-0.017368,-0.990870,0.133677,17.634233,51.706672,14.496107
229,1.908333,0.002341,-0.017354,-0.990869,0.133684,17.627216,51.664016,14.485579
230,1.916667,0.002339,-0.017338,-0.990868,0.133693,17.619609,51.616385,14.473738
231,1.925000,0.002337,-0.017323,-0.990868,0.133701,17.613204,51.573860,14.463283
232,1.933333,0.002336,-0.017309,-0.990867,0.133709,17.606803,51.531053,14.453016
233,1.941667,0.002334,-0.017293,-0.990866,0.133719,17.599681,51.482870,14.441630
234,1.950000,0.002332,-0.017278,-0.990865,0.133728,17.593431,51.440541,14.431907
235,1.958333,0.002330,-0.017264,-0.990864,0.133737,17.587481,51.398705,14.422772
236,1.966667,0.002328,-0.017247,-0.990863,0.133747,17.580996,51.351497,14.412906
237,1.975000,0.002326,-0.017233,-0.990862,0.133756,17.574863,51.309185,14.404172
238,1.983333,0.002324,-0.017218,-0.990861,0.133766,17.568644,51.267086,14.395445
239,1.991667,0.002322,-0.017202,-0.990859,0.133777,17.561755,51.219184,14.385193
240,2.000000,0.002321,-0.017187,-0.990858,0.133787,17.555455,51.176465,14.375877
241,2.008333,0.002319,-0.017172,-0.990857,0.133797,17.548979,51.133895,14.366579
242,2.016667,0.002317,-0.017156,-0.990856,0.133809,17.541440,51.086050,14.355845
243,2.025000,0.002315,-0.017141,-0.990855,0.133820,17.534658,51.043444,14.346368
244,2.033333,0.002313,-0.017126,-0.990853,0.133831,17.528070,51.000879,14.336851
245,2.041667,0.002311,-0.017109,-0.990852,0.133844,17.520697,50.952921,14.326256
246,2.050000,0.002309,-0.017095,-0.990851,0.133856,17.514061,50.910365,14.316501
247,2.058333,0.002308,-0.017080,-0.990849,0.133868,17.507092,50.867814,14.306864
248,2.066667,0.002305,-0.017063,-0.990848,0.133881,17.498955,50.820143,14.296368
249,2.075000,0.002304,-0.017048,-0.990846,0.133894,17.491835,50.777560,14.287400
250,2.083333,0.002302,-0.017033,-0.990845,0.133907,17.485058,50.734540,14.278627
251,2.091667,0.002300,-0.017016,-0.990843,0.133921,17.477345,50.686011,14.268860
252,2.100000,0.002298,-0.017001,-0.990842,0.133934,17.470335,50.643165,14.260244
253,2.108333,0.002296,-0.016986,-0.990840,0.133948,17.463581,50.600300,14.251389
254,2.116667,0.002294,-0.016969,-0.990838,0.133964,17.456479,50.552180,14.241430
255,2.125000,0.002292,-0.016953,-0.990837,0.133978,17.450167,50.509294,14.232558
256,2.133333,0.002291,-0.016938,-0.990835,0.133992,17.443751,50.466302,14.223844
257,2.141667,0.002289,-0.016921,-0.990833,0.134009,17.436740,50.418494,14.214531
258,2.150000,0.002287,-0.016906,-0.990831,0.134024,17.430522,50.376241,14.206229
259,2.158333,0.002285,-0.016891,-0.990829,0.134039,17.424015,50.334308,14.197966
260,2.166667,0.002283,-0.016874,-0.990827,0.134056,17.416691,50.287099,14.188829
261,2.175000,0.002281,-0.016859,-0.990826,0.134072,17.409902,50.245367,14.180375
262,2.183333,0.002279,-0.016843,-0.990824,0.134089,17.402804,50.203567,14.171773
263,2.191667,0.002277,-0.016826,-0.990821,0.134107,17.394894,50.156267,14.162299
264,2.200000,0.002276,-0.016811,-0.990819,0.134124,17.387778,50.114013,14.153963
265,2.208333,0.002274,-0.016796,-0.990817,0.134141,17.380468,50.071552,14.145401
266,2.216667,0.002272,-0.016779,-0.990815,0.134160,17.371957,50.023852,14.135602
267,2.225000,0.002270,-0.016763,-0.990813,0.134178,17.364154,49.981363,14.126954
268,2.233333,0.002268,-0.016748,-0.990811,0.134196,17.356263,49.938788,14.118177
269,2.241667,0.002266,-0.016731,-0.990808,0.134217,17.347658,49.890809,14.108435
270,2.250000,0.002265,-0.016715,-0.990806,0.134235,17.340391,49.848209,14.099727
271,2.258333,0.002263,-0.016700,-0.990804,0.134254,17.333214,49.805526,14.090870
272,2.266667,0.002261,-0.016683,-0.990801,0.134275,17.325232,49.757398,14.080658
273,2.275000,0.002259,-0.016667,-0.990799,0.134295,17.318451,49.714295,14.071486
274,2.283333,0.002257,-0.016652,-0.990796,0.134314,17.311672,49.670965,14.062438
275,2.291667,0.002255,-0.016634,-0.990794,0.134337,17.303881,49.621870,14.051971
276,2.300000,0.002254,-0.016619,-0.990791,0.134357,17.296704,49.578138,14.042547
277,2.308333,0.002252,-0.016603,-0.990789,0.134378,17.289586,49.534677,14.033128
278,2.316667,0.002250,-0.016585,-0.990786,0.134401,17.281659,49.485826,14.023157
279,2.325000,0.002248,-0.016570,-0.990783,0.134423,17.274481,49.442015,14.014044
280,2.333333,0.002246,-0.016554,-0.990780,0.134444,17.267457,49.397924,14.004915
281,2.341667,0.002244,-0.016536,-0.990777,0.134468,17.260122,49.348166,13.995043
282,2.350000,0.002243,-0.016520,-0.990775,0.134491,17.254159,49.303928,13.986287
283,2.358333,0.002241,-0.016505,-0.990772,0.134513,17.248341,49.259422,13.977724
284,2.366667,0.002239,-0.016487,-0.990769,0.134538,17.241355,49.209356,13.968186
285,2.375000,0.002237,-0.016471,-0.990766,0.134561,17.235265,49.165240,13.959790
286,2.383333,0.002235,-0.016455,-0.990763,0.134585,17.229287,49.120984,13.951919
287,2.391667,0.002233,-0.016437,-0.990760,0.134611,17.222379,49.071245,13.942958
288,2.400000,0.002232,-0.016421,-0.990757,0.134635,17.216145,49.026815,13.934797
289,2.408333,0.002230,-0.016406,-0.990754,0.134660,17.210026,48.982109,13.926636
290,2.416667,0.002228,-0.016388,-0.990750,0.134687,17.202786,48.932388,13.917716
291,2.425000,0.002226,-0.016372,-0.990747,0.134712,17.196370,48.888166,13.909611
292,2.433333,0.002224,-0.016356,-0.990744,0.134737,17.189854,48.843874,13.901472
293,2.441667,0.002222,-0.016338,-0.990740,0.134766,17.182851,48.794004,13.892140
294,2.450000,0.002221,-0.016322,-0.990737,0.134792,17.176726,48.749411,13.883547
295,2.458333,0.002219,-0.016306,-0.990734,0.134818,17.170641,48.704449,13.874570
296,2.466667,0.002217,-0.016288,-0.990730,0.134848,17.163889,48.653309,13.864205
297,2.475000,0.002215,-0.016272,-0.990726,0.134875,17.157688,48.607637,13.855277
298,2.483333,0.002214,-0.016256,-0.990723,0.134903,17.151441,48.562106,13.846130
299,2.491667,0.002212,-0.016238,-0.990719,0.134934,17.144145,48.510561,13.835114
300,2.500000,0.002210,-0.016222,-0.990716,0.134962,17.137698,48.464758,13.824919
301,2.508333,0.002208,-0.016206,-0.990712,0.134990,17.131844,48.418887,13.814472
302,2.516667,0.002206,-0.016187,-0.990708,0.135022,17.125514,48.366923,13.802824
303,2.525000,0.002204,-0.016171,-0.990704,0.135051,17.120034,48.320609,13.792273
304,2.533333,0.002203,-0.016155,-0.990700,0.135081,17.114733,48.274126,13.781746
305,2.541667,0.002201,-0.016136,-0.990696,0.135114,17.108667,48.221691,13.769374
306,2.550000,0.002199,-0.016119,-0.990692,0.135144,17.103258,48.175068,13.758088
307,2.558333,0.002197,-0.016102,-0.990689,0.135175,17.097485,48.128300,13.746851
308,2.566667,0.002195,-0.016083,-0.990684,0.135209,17.091008,48.075138,13.734306
309,2.575000,0.002193,-0.016066,-0.990680,0.135241,17.085173,48.027338,13.723004
310,2.583333,0.002191,-0.016049,-0.990676,0.135272,17.079489,47.979238,13.711655
311,2.591667,0.002189,-0.016030,-0.990671,0.135308,17.073088,47.925005,13.698574
312,2.600000,0.002188,-0.016012,-0.990667,0.135341,17.067083,47.877332,13.686876
313,2.608333,0.002186,-0.015995,-0.990663,0.135373,17.061034,47.830012,13.675044
314,2.616667,0.002184,-0.015975,-0.990658,0.135411,17.054013,47.776463,13.661832
315,2.625000,0.002182,-0.015957,-0.990654,0.135444,17.047612,47.728679,13.649966
